20:19; temperature; -11
20:19; wind_speed; 4
20:19; pressure; 741
20:19; temperature; -8
20:19; wind_speed; 7
20:19; pressure; 732
20:27; temperature; -18
20:27; wind_speed; 6
20:27; pressure; 748
20:27; temperature; -8
20:27; wind_speed; 12
20:28; temperature; -6
20:28; wind_speed; 24
20:28; pressure; 722
20:28; temperature; -9
20:28; wind_speed; 5
20:28; pressure; 724
20:29; temperature; -5
20:29; wind_speed; 16
20:29; pressure; 744
20:29; temperature; -12
20:29; wind_speed; 7
20:29; pressure; 739
